Protein	Contig	Genome	Classification	Function	Final AVG Probability	Final AVG Confidence Level
vRhyme_bin_11__MHr2D2E2F_000000040067_21	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_22	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_23	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_24	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_25	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_26	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_27	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_28	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_29	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_30	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_31	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_32	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_33	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_34	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_35	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_36	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_37	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_38	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_39	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_40	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_41	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_42	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_43	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_44	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_45	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_46	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_47	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_48	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_49	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_50	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_51	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_52	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_53	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0543	low
vRhyme_bin_11__MHr2D2E2F_000000040067_54	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000040067_55	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_1	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_2	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	phosphoadenosine phosphosulfate reductase	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_3	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_4	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_5	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_6	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_7	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_8	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_9	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_10	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_11	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_12	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_13	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_14	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_15	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	""	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_16	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_17	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_18	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_19	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	lytH; peptidoglycan LD-endopeptidase LytH [EC:3.4.-.-]	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_20	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_21	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000047197_22	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_1	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_2	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_3	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_4	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_5	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_6	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_7	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_8	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_9	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_10	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_11	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	""	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_12	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_13	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_14	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_15	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_16	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_17	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_18	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_19	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_20	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_21	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_22	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_23	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_24	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_25	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	regulatory	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	0.9493	very high
vRhyme_bin_11__MHr2D2E2F_000000049988_26	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_27	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_28	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_29	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	ATPase	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_30	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_31	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_32	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_33	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	""	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_34	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_35	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_36	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_37	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_38	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_39	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_40	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_41	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_42	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_43	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_44	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_45	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	Family of unknown function (DUF6166)	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_46	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_47	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_48	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_49	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_50	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_51	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_52	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_53	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_54	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_55	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_56	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000049988_57	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_1	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_2	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_3	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_4	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_5	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_6	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_7	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_8	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_9	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_10	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_11	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_12	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_13	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_14	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_15	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_16	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_17	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified	""	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_18	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_19	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_20	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_21	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_22	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_23	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_24	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_25	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_26	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified	Glycosyl transferase family 1	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_27	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified	cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_28	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_29	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_30	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_31	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_32	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_33	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_34	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_35	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_36	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_37	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_38	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_39	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_40	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_41	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified	""	0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_42	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_43	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000084120_44	vRhyme_bin_11__MHr2D2E2F_000000084120	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
vRhyme_bin_11__MHr2D2E2F_000000121636_1	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified		0.0	low
